	Movie	Review	Predicted
1073	The Shaggy Dog	Ruf! I understand Tim Allen doing this movie. It plays into his Santa Clause audience. But, what were Robert Downey Jr. and Danny Glover thinking? Seriously.	1
1074	Birdman	Rarely have I seen an intelligent movie so dull and unengaging. Isn't satire supposed to be aggressive? Or funny? The main plot is rote, the sub plots are truncated, and the characterizations are blunt and shallow. Working out the logistics of the long takes can be fun, but that's about the greatest joy this flick has in store. To me, the movie amounts to nothing more than a technical gimmick propped up by some fine stunt casting and a whole lot of hot air. I vastly preferred Synecdoche, NY.	2
1075	Roma	Introducing Italian Neorealism (in Spanish) to the Netflix audience! Not as monumental or heavenly as most critics claim but still it's beautifully-crafted.	2
1076	The Prestige	I'm completely on board now, when people say: This is a GREAT movie! *Fantastic	2
1077	Star Wars: Episode VII - The Force Awakens	Yeah it's pretty much crap. 50 (70) for being SW.	0
1078	Avengers: Infinity War	This is the perfect Popcorn Movie. I can't really describe how overwhemeld I was after I left the Cinema but you should watch it. Watch it and love it.  The whole thing they builded up over so many years and movies comes to a big conclusion and it hits the spot just right.  Thanos is the best villain I've seen in years and he lives up to the expectations. This movie is dramatic and not just your tipycal comicbook-movie but really full-ass grown, with suspense and oh shit i ran out of characters.	2
1079	Ex Machina	Great sci-fi film covering Isaac Asimov's laws of robotics with great zest and care. The film is really quite simplistically made pretty much all in one location. The stars of the film really shine as they become fully immersed in their well thought out roles. The music throughout is also quite fitting and even used to add a little humour.	2
1080	I, Tonya	Margot Robbie is a blast. The movie itself is as much a black comedy as it is a biography. Very well made.	2
1081	Once Upon a Time in Hollywood	In many ways more restrained and refined than any of Tarantino’s films from the 2000s. There’s less irritating exploitation of blatant entertainment than in his previous films. Also, Once upon a time in Hollywood is a decent depiction of the end of the 1960s, even with a bunch of obvious clichés.	2
1082	Ant-Man	Lots of fun. Fight scenes are awesome to watch. Edgar Wright left the project before its completion, but you can see his fingerprints everywhere. The absurdity of the situations, the genre movie (it is mostly a robbery flick, not a superhero one), some of the dialogs. I'd love to see ant-man in different secnarios and I can only imagine what the movie would look if Wright stayed to the end.	1
1083	Avengers: Endgame	I'm sure if I analyzed it further as a film you could find flaws, but as a culmination to 11 years of comic book movies and continual storytelling, this movie is pretty perfect. It gets more comic booky than any of the previous movies did.	2
1084	The Third Man	This fucking movie, my god. Best entrance ever made by a character mid-film. The cinematography/lighting is so self-aware, and a great nod to Lang. Joseph Cotton and Welles once again prove to be quite a team. You can completely see the last scene in the movie coming but you're still impressed.	2
1085	Spirited Away	A beautiful movie from the powerhouse Studio Ghibli, I consider Spirited Away to be one of the best animated films of all time. The art is beautiful, the story is flawless and full of hidden surprises that you only notice with repeated viewings. A definite must-see.	2
1086	Swing Vote	WOW  That was terrible  plus, what is up with both presidential candidates always wearing red Ties?!?!	2
1087	Inception	Awesome multi-layered thriller, best to come to the big screen for a while. Kept surprising you all along, with the good plot and excellent visuals. Loved it.	2
1088	The Fly	The science is soft, but my goodness was I hard.	2
1089	2012	It all looks rather expensive and some sequences are downright apocalyptic, but 2012 fails miserably at portraying anything resembling true human emotion. Emmerich is a grand technician but a terrible director; any moment that is supposed to be big and horrifying ends up being absolutely laughable. It's a whole big bag of neat visual effects and nothing else. Roland, you need to understand that huge disaster flicks need true drama in order to work, not crack abysmal jokes every 5 minutes. Next!	0
1090	Oldboy	"Superbly made Korean film which is beautifully shot, acted, written and directed and contains all the elements for a masterpiece.

Stunning film

*One of my favourites*"	2
1091	Braveheart	Mel Gibson's pinnacle! A great depiction of a historical epic that should be mentioned in one breath with Ben Hur and Spartacus. Epic battles, epic speeches, and an epic ending to inspire. 	2
1092	Black Swan	Wow. Yes, the screenplay is weak. I couldn't care less. I haven't seen a film this visceral in years, maybe ever. Portman is more than just career-best in one of the most difficult film acting assignments ever; this is one of the all-time great performances. Perfectly captures the weird dichotomy of the deathly serious and the absurd that any obsessive artist confronts themselves with on a daily basis. A dizzy, demented film that doesn't give a damn about the line between reality and delirium.	1
1093	Eternal Sunshine of the Spotless Mind	A picture of sheer originality, Eternal Sunshine of the Spotless Mind is a emotionally engaging, thought provoking picture of the highest quality.    	2
1094	Eyes Wide Shut	A too-old Stanley Kubrick put out this ponderous, dark, unbelievable and bizarre movie. Maybe stuff like that really does go on....nah. I don't think so. Nicole Kidder in glasses and panties is the high point of the movie.	0
1095	Snowpiercer	Lots of great ideas thrown around and rather exciting, but it's so full of plot-holes and inconsistencies, and so badly edited, that it ends up being disastrously stupid. It does take some risks and for that I give it some credit, but that doesn't save this movie.	0
1096	Eastern Promises	Cronenberg HAS to start writing his own scripts again. Even more disappointing than the previous one, this has so many implausible twists and turns it becomes quite ridiculous, perhaps intentionally. Aside from the infamous violent scenes, there's no real reason to watch this, and I'm still waiting for that once great director to find his new path in a more satisfying way.	0
1097	Pan's Labyrinth	Pan's Labyrinth is a unique amalgam of the dark side of both Spanish history and fantasy. The special effects and suspenseful storytelling are superb. As much as I enjoy this movie, I find repeat showings difficult because of all of the emotions the viewer is subjected too. Also, everything CREAKS. 	2
1098	True Romance	a chick flicks for boys	1
1099	The Last Dragon	Not quite Blaxploitation and not quite Kung Fu, this isn't a movie you watch for the fight scenes, acting or storyline. You bathe in the music, the one liners, and spectacle of it all and smile. Asians who want to be black and blacks who want to be Asians, a neighborhood shogun, a pizza parlor, a dance club, a hack entertainment agent and the mystical power of The Glow all come together in a ridiculous bit of 80's spectacle that is impossible to reproduce. Lose the attitude and enjoy yourself.	0
1100	Akira	A story of completely epic proportion. It can only be portrayed by animation and to think that it achieved so much for the time it was created is incredible. The lush details of the city, characters and the events that unfold are all mind blowing. Truly a classic.	2
1101	Falling Down	This has been misinterpreted as endorsing violence, but Schumacher and Smith have, above all, created a thoughtful and believable character study.	2
1102	Boyz n the Hood	I dont belong anywhere near the hood, but we are all people. Boyz n the Hood's take of redemption, triumph, loss, and despair in the most violent shows us that, in the end, it's the person alone who has the strength to create his/her future. 	1
1103	Catwoman	Only way to make it worse would be to make this a musical	0
1104	The Wild Bunch	everyone can fuck off. i highly doubt peckinpah made a better film than pat garrett and billy the kid. 	1
1105	Gayniggers from Outer Space	title delivers!	2
1106	2001: A Space Odyssey	A load of hippy wank with some nice space station effects.	2
1107	Drive	the first 10 minutes..AMAZING....the rest...NOT THAT MUCH	1
1108	Under the Skin	I found this incredibly engaging throughout. A very haunting film. Definitely got under my skin, and then some. I'll be thinking about this film for days. And several scenes will stick with me for a very long time. I find it interesting that the things I loved most about the film are the same things many people hated about it.	0
1109	Knowing	You gotta be kidding me. That's the worst thing i've watched for years. I really need to know how to build a time machine or something that could erase the last hour and a half.	0
1110	Knowing	You gotta be kidding me. That's the worst thing i've watched for years. I really need to know how to build a time machine or something that could erase the last hour and a half.	0
1111	The Room	BUT ALSO 100.	1
1112	Ad Astra	Fucking voiceovers.	1
1113	Gravity	A masterpiece! It's like a visual Fifth of Beethoven or other masterpiece which grabs you and doesn't let go. 	2
1114	The Irishman	gangster picture to end the gangster pictures?	1
1115	Star Wars: Episode VIII - The Last Jedi	People are stupid.	0
1116	Iron Man 2	Disappointing in light of the first movie. Feels like it went in the Transformers 2 trap: More effects, more explosions, more fights, more characters, more over-the-top broad comedy and insanely stupid intrigues (the whole Hammer-character is implausible). Plot suffers, tension suffers, credibility suffers BIG-TIME. 	0
1117	Star Wars: Episode VII - The Force Awakens	A lot of repeats and some meh twists, for me, but hopefully since this first film covered all that they can now continue the story in a new direction.  It would be great if they had more character development for the new people.  Rei, Fin and Poe are cool but you don't get to know much about them, and all the other characters (ex: the other x-wing pilots) seem like set dressing not people.  Oh well, it was good, just hope they try to improve on what they started.	0
1118	Vampire's Kiss	One of the best performances of all time. Hilarious and unhinged, but also surprisingly subversive.	2
1119	The Hateful Eight	Probably the best marriage of early (read: love letters to 60s-70s cinema) Tarantino and late (read: assembling aforementioned influences to make blunt, crucial sociological statements in a blissfully unaware savant-like fashion) Tarantino that I could have hoped for. 	2
1120	Kill Bill: Volume 1	Tarantino is one sick bastard. And I mean that in the best way possible. 	2
1121	The Blair Witch Project	You either love it or hate it. I thought it was brilliant.	2
1122	Kiss Kiss Bang Bang	I honestly couldn't help but like this movie.  I found myself smiling throughout the entire movie and laughing at nearly every quip by the refreshingly original characters.  There was absolutely nothing stale or dry about this movie, and I will definitely add it to my DVD collection.	1
1123	Grave of the Fireflies	Please watch this with somebody else. One of the most touching and powerful pieces of animation I've ever seen.	2
1124	Annihilation	Starts of suprisingly intresting, and ends up with pseudo-science-bullshit (science fiction can be made without something as irritating as dna-reflecting-mutation-bubbles)	0
1125	Body Double	Some movies use dream logic but Body Double uses cocaine logic. Halfway into this film I thought it was garbage, and by the end I thought it might be genius.	0
1126	Day of Wrath	Bleak, beautifully told story about witchcraft, repressed sexuality, and religious zealotry.  The bleak cinematography and understated acting help create a complex, depressing world of cruel punishment and unattainable love.  Wonderful and unexpected.	2
1127	Shaft	A great Blaxploitation movie, the acting is kinda weak, but who cares, everything else is wonderful. The music, the cinematography, the storyline, and everything else you can throw in. And if you don't like it, then shut your mouth!	2
1128	2001: A Space Odyssey	The concept is great.  Despite that, this is one of the most boring films I have ever seen.  There's about twenty minutes of showcasing different spaceships over classical music.  Sounds riveting doesn't it?	2
1129	Apocalypse Now: Final Cut	Godard in an interview with Dick Cavett said the problem with Apocalypse Now is that there was not enough money in the picture. If instead of 50 million, if he had spent 50 billion dollars then it would approach closer to what the American war in Vietnam was about.	1
1130	Apocalypse Now: Final Cut	Godard in an interview with Dick Cavett said the problem with Apocalypse Now is that there was not enough money in the picture. If instead of 50 million, if he had spent 50 billion dollars then it would approach closer to what the American war in Vietnam was about.	1
1131	Magnolia	I don't have a lot of good things to say about this film.  I think it's a complete failure as a drama, as the characters and plot felt very pat (not helped at all by the embarassingly bad dialog).  PT Anderson is a talented visualist, but he shouldn't be allowed to write.	0
1132	The Wackness	Ben Kinglsey shines, the remaining cast members struggle to overcome their characters' uninterestingness and the script.	2
1133	The Hole	"Clang!, clang!, clang!, clang!, clang!, clang!, clang!, clang!, clang!, clang!, thump!, thump!, clang!, clang!, clang!, clang!, THUMP!, THUMP! clang!, clang!, clang!, thump!
CLANG!"	1
1134	Foxcatcher	A fantastic psychological thriller about Steve Carrell's prosthetic nose	2
1135	The Good, the Bad and the Ugly	The finale is probably the best standoff you'll see. Eastwood could play a game of tiddlywinks in this film and you'd still think he looks amazingly cool and badass.	2
1136	Kiss Kiss Bang Bang	One of my all-time favorites, infinitely quotable, and one of the strongest scripts in recent years. Shane Black, where have you been, where are you going?	2
1137	From Justin to Kelly	The single greatest cinematic achievement of our time.	2
1138	Transformers: Revenge of the Fallen	The plot is as thin as it is negligible, the dialogues are awful, much of the acting sub-standard, the jokes are lame, and the robot fights are not much more than blurs of shapes and colors.	0
1139	The Decalogue	I'm a Kieslowki fan, but I found this dreary, and too unsubtle and heavy-handed for the kind of drama he was doing. If Christians are wondering why church attendance is declining, maybe it's because they treat ethics as a soap opera and treat humans as cartoonish stock characters. The flat and conceptual characters here are a disappointing contrast to the rich characters in his other films. Decalogue is a testament to the misanthropic, dehumanizing arrogance of perceived moral superiority.	0
1140	The Decalogue	I'm a Kieslowki fan, but I found this dreary, and too unsubtle and heavy-handed for the kind of drama he was doing. If Christians are wondering why church attendance is declining, maybe it's because they treat ethics as a soap opera and treat humans as cartoonish stock characters. The flat and conceptual characters here are a disappointing contrast to the rich characters in his other films. Decalogue is a testament to the misanthropic, dehumanizing arrogance of perceived moral superiority.	0
1141	Nymphomaniac: Volume 1	"Gerçekten çok kötü bir filmdi ya her şeyi ikiye saklamış ya da kötü işte.
It was awful we dont know maybe he hide everything for vol 2 or it was bad "	0
1142	Lolita	The girl in this movie almost turned me into a pedophile.	1
1143	Eyes Wide Shut	If this is all Stanley Kubrick figured aout about love, sex,and desire inhis log years, god save him. Pablum. Boring.	2
1144	Avengers: Endgame	Essentially 3 hours of focus tested fan service, down to the last detail. It's hard to outright dislike, but it's also very difficult to find anything organic or inventive.	0
1145	Room 237	Don't focus on the individual bizarro theories too much. Some are plausible, most are not. For me the motive of this doc is obsession. Listening to the four characters wallow in detail is quite interesting (Moreso than the actual theories).	0
1146	The Big Bird Cage	Great campy fun.	2
1147	10 Cloverfield Lane	10 Cloverfield Lane is a winner for me. Everything is a mystery whether it be the characters or whatever situation they may be in. Your curiosity will nearly consume you. Add to all of this some scattered moments of suspense on top of great performances from the leads. For some, the final act may not do it for you but I happened to enjoy. The ending will leave you with more questions with the biggest mystery being where does the future of this franchise lie? 4 STARS	2
1148	Gravity	Avatar brought 3D to the wide public's attention, but this is the movie that showed everyone what it can really bring to cinema. Absolutely stunning, from every point of view !	2
1149	Blindspotting	One of the better movies of 2018. Apparently this is the director's first feature film and he's previously directed music videos and short films. That stylistic influence definitely shows, and it mostly succeeds. Yet that doesn't take away from the movie's quality of being real. While the writing may get a bit too much sometimes, there are some beautiful scenes, and the overall product is very satisfying.	2
1150	You Were Never Really Here	I love all of Lynne Ramsay's films (rated them top tier), but this was just terrible waste of time. The average ratings are very surprising to me.	1
1151	Rogue One: A Star Wars Story	Thank goodness. This Star Wars movie doesn't resort to any cheap tricks. A very originally developed story, with a complicated, imperfect, yet well-delivered villain, sensibly story-driven, layered themes, incredible score, and a great cast of supporting characters..... except Forest Whitaker....	2
1152	While She Was Out	WOW...don't mess with Della, does Kim grow old? 	0
1153	Citizen Kane	One of the greatest movies of all time, Orson Welles did a phenomenal job directing, writing, and acting in this picture.  Everybody should have to see this movie some day.	2
1154	Spider-Man: Homecoming	Tom Holland is adorable as the newest incarnation of Spiderman. He's everything you've come to expect from the witty and boyish superhero. This movie, while boasting some impressive action sequences, is notably different from other MCU movies with how low-key it is. While in other MCU movies it's always about saving the world, the galaxy, the universe - this time it's saving a city block. But its none the less entertaining.	2
1155	Three Billboards Outside Ebbing, Missouri	A near-masterpiece right up until the lackluster ending.	0
1156	Office Space	I have never worked in an office setting, but I can totally relate to the main character's wishes of wanting to do absolutely nothing with his days, and that simple fact, combined with Office Space's quirky characters, makes this one of the most iconic cult comedies ever made. This is one of those we all know someone like this movies that everyone should see at some point in their lives. Mike Judge is a genius for things like this and it shows here. Truly a one of a kind film.	2
1157	Kobe Doin' Work	fuck you kobe	1
1158	Her	This is a wry examination of Turing's Test that requires a bit of patience on the part of the viewer.  Scarlett Johansson proves she can act without her body, and Phoenix provides an appropriate combination of curiosity, loneliness, lust, and befuddlement as he deals with a uniquely evolving lover.  The moral issues here are both humorous and surprisingly deep. 	2
1159	For Your Consideration	Woefully unfunny but biting... if this was about an awards season a decade ago.  Tired botox and e-mail jokes are representative of the satirical take here, not that Christopher Guest is ever cutting edge.  Still, his previous works with this core ensemble are seldom this spiteful and compensate with varying degrees of hope and tenderness.  Not here, which amplifies all that is stale.  Jane Lynch, however, is wicked without saying a word.	2
1160	12 Monkeys	Time travel as an identity unravelling headache. Willis is introverted and childlike, rapidly convincing himself of his own psychosis when not wandering around in a giant condom. Gilliam brings a curiously convincing futuristic, discarded brass aesthetic to the preceedings. The best film about time travel ever made.	2
1161	For Your Consideration	Woefully unfunny but biting... if this was about an awards season a decade ago.  Tired botox and e-mail jokes are representative of the satirical take here, not that Christopher Guest is ever cutting edge.  Still, his previous works with this core ensemble are seldom this spiteful and compensate with varying degrees of hope and tenderness.  Not here, which amplifies all that is stale.  Jane Lynch, however, is wicked without saying a word.	2
1162	Drive	I don't think I'm allowed to give it a lower score than this because of how much I love love love the soundtrack and lighting.	0
1163	Titanic	Pure tripe.  Little historical accuracy.  	0
1164	John Wick: Chapter 3 – Parabellum	Don’t get me wrong - this movie is beautifully shot and edited. I also crave for more old-school action movies like this. But all the creativeness are used up in the film’s awesome first 20-30 minutes. After that the plot turns into nonsense, and seems to destroy the wonderful world building from the first two film. I could also do without Halle Berry. Still entertaining throughout though a bit too long.	2
1165	Gods of Egypt	What amounts to being the cinematic equivalent of taking a sedative, only more torturous, Gods of Egypt is lackluster in practically all respects. If it weren't for the moments of sheer absurdity, unavoidable fits of laughter, along with Geoffrey Rush and Chadwick Boseman's awareness that the film they are in is absolute hot garbage (ham it up to 11 fellas), the audience would be lulled into a painfully forced nap after already suffering with the guilt of spending their dollars on this atrocity.	0
1166	Star Wars: Episode VIII - The Last Jedi	I think Phantom Menace might have been better than this shit.	0
1167	Avengers: Age of Ultron	So there was a moment, somewhere in the middle of this film, where Thor jumps into a mystical pool and I had to admit to myself that it had no idea what was going on.  Much if it is fun and it doesn't take itself seriously but, really... What did I just watch?	0
1168	Indie Game: The Movie	Practically a 2 hour ad for Steam.	0
1169	Toy Story 3	One of those films that makes you laugh, cry, smile, and pull all number of facial expressions. And at the end it leaves you feeling both satisfied and happy. Pixar's masterpiece in my eyes.	2
1170	Like Someone in Love	Kiarostami seems to be making a joke out of his own genre, while he creates a short story that could have been penned by the author of Rashomon. The car-driving-in-circles and car-talk scenes, the wise elder giving advice to troubled youth. But the joke is on our expectations of how it will all turn out. Extreme command of pace, plot and setting, as always, and lots of nice incidentals like the parades of schoolkids that flow past the lives of the film's protagonists.	2
1171	Zero Dark Thirty	An important film. Subtly brilliant and perfectly thrilling, Zero Dark Thirty is beautifully paced.The performances are flawless; Jessica Chastain is incredible. Bigelow's vision and attention to detail is admirable and it truly elevates the experience. The film builds to a thrilling ending that ranks among the most intense endings I've ever seen. Powerfully acted, wonderfully directed, and brilliantly written by Mark Boal, Zero Dark Thirty is easily one of the best films of 2012!	2
1172	Transformers	I swear Michael Bay just straps a camera to the back of a coked up dalmatian when he wants to try and film an action sequence.	1
1173	Contact	Many people bag this film. I don't get it, how did you want it to end? With little green men??? I felt they did the best ending they could have. Foster is brilliant and the story moves at a good pace that doesn't rush things. Great screenplay from an extremely complicated book!	2
1174	Baska dilde ask	Saka yapiyor olmalisiniz, neyini ovdunuz bu filmin? Konuda tutarlilik yok, havada kalan onlarca sey var. Neden orada oldugu anlasilmayan sahneler, cikislar, konular... Aman Allah'im. Kabus gibi takila takila ilerliyor. Film neyi anlatiyor? Musteri Hizmetleri calisanlarinin dertlerini mi? Degilse yarim saat niye onu izliyoruz? Her sagir ve dilsiz kisi sinirlendiginde orangutan taklidi mi yapiyor? Hepsinin mi hareketleri bu kadar abartili. Hic sagir dilsiz tanimasam yiyecegim ha!	1
1175	Season of the Witch	So... how many movies does Nicholas Cage have to make before the IRS leaves him alone and he can finally go back to making decent movies instead of this crap... 	0
1176	Entrapment	A boring excuse to show Zeta-Jones's curves.	0
1177	Naked	English drama... well, it's got to be gritty, doesn't it?	2
1178	Fight Club	This story of an insomniac's other personality creates many mind boggling situations that make the viewer question their life.  While the movie is called FIGHT Club and yes does have a fair amount of violence in it, the film was clearly produced to beg a question about life; do we matter?  The character played by Brad Pitt (Tyler Durdan) does a fantastic job of leading this so fight club and later on criminal tasks called project mayhem used to set the real world straight.   	2
1179	A Walk to Remember	There is truly nothing better than to see a romance which is not based on anything but love to come alive on the big screen. Mandy Moore and Shane West did a phenomenal job portraying the parts of Landon and Jamie. You find yourself being heartbroken at the turn of the movie, and forever remembering the quote that really summed up the movie. Love is like the wind. You cannot see it but you can always feel it. Nicholas Sparks did a brilliant job in creating this story.	2
1180	Nymphomaniac: Volume 1	"Trier is always man for a good show, whether you like him or not.  Audience better ready themselves for one hell of a trip around the darkest and brightest corners of human sexuality. It is somehow spellbinding with its many references and provocations which at the same time praise and ridicule art, politics, religion, human intellect, as well as you and me as audience. 
Witty and furtively funny. 
Triers films are definitely always an experience, and this on is too. I think I like it..."	2
1181	I Am Omega	I am legend for watching this shit.	2
1182	The Rocky Horror Picture Show	Great dirty fun, makes me want to put on fishnets and make-up.	2
1183	Eliminators	A challenging piece about what it means to be human.	1
1184	Inglourious Basterds	As awesome as Batman punching Hitler in the face and then planting an American flag into his torso.	2
1185	Star Wars: Episode VII - The Force Awakens	Negatives first. Too many Brits. Rey too good at everything. Fight scenes flashy and loud but not exciting. C3PO doesn't sound right. The original cast. The ET-lookalike. Plot is cribbed from ANH. About 20 minutes too long. But despite all that, I had fun watching this movie. It feels right. It's the real thing.	1
1186	The Woman in Black	Harry Potter and the Woman in Black stars Daniel Radcliffe as a frowny-faced Englishman who wanders around an old house examining things. Examining something for longer than four seconds results in a SURPRISE LOUD SOUND. Oh and maybe a ghost, too; but possibly just an angry bird or a noisy faucet. Co-starring: a small dog. 	0
1187	Pink Flamingos	In 2041 there will be someone claiming that 2girls1cup was an outstanding example of tasteless fun. Let's realize that it's an utter nonsense before it's too late.	0
1188	Transformers: Revenge of the Fallen	Too long, bad acting, moronic dialogue, disturbingly fetishistic of the military, incoherent plot, lack of emotional investment in the characters... these are all adjectives that any rational person would expect to describe this movie.  And, honestly, plot and dialogue and acting and basic logic are all nice, but non-essential.  But how in the nine circles of Hell can you make a movie about giant robots fighting and SCREW UP THE FIGHT SCENES?!?!  The mind boggles.	2
1189	2001: A Space Odyssey	Oh god I fell asleep during the spaceship flyby scene and I was even fast forwarding it at the time.	0
1190	12 Years a Slave	This is bad. This is really bad and I'm confused as to why I'm the only one who thinks so. Look, we don't just get to say Man, those slave owners were some sadistic assholes! and stamp racism and slavery as done. Arts job is to articulate complexity - not simplify it. This was The Passion of The Christ - Slavery Edition.	2
1191	Mandy	OK Nic, now b4 Bathroom Scene: Recall 1996: U won an Oscar, were RICH & married to Patrica A ...&.. GO♨️ DAMN: NC sure didn't ☏ this 1 in! Bloody but ≠ vile leering. = More cartoony  ⚠️: not normal film AT ALL: ¼ woozy then ¾ NEON drenched nightmare lunacy. I fell into groove & had blast; as cast seem 2've done. 'Plot' = stock revenge but attacked with total intense loco cinematography, ♬ + acting.  ≅ Lynch+Only God F+Inh Vice+MMax: Unique art-revenge-stoner pic‽❤️?!	2
1192	Mad Max: Fury Road	From its very first scenes, Fury Road vibrates with the energy of a veteran filmmaker working at the top of his game, pushing us forward without the cheap special effects or paper-thin characters that have so often defined the modern blockbuster. Miller hasn't just returned with a new installment in a money-making franchise. The man who re-wrote the rules of the post-apocalyptic action genre has returned to show a generation of filmmakers how they've been stumbling in their attempts to	0
1193	Star Wars: Episode VII - The Force Awakens	The seventh installment of the Star Wars franchise pays tribute to the films that spawned it as well as creating great young characters that the next generation of fans can attach themselves to.	0
1194	Blindspotting	I'm so glad I saw this film.So refreshing and unconventional.It's funny and charismatic while also being intense and electrifying to watch.Not only that it's also wonderfully directed, beautifully shot and the two main performances are really riveting and full of depth.There is some real passion behind this movie and it shows.It deals with themes that are really important for today's society and I think for that reason it should be seen by a lot of people. 	2
1195	The Rules of Attraction	This shows honestly - and accurately - the destructive behavior of a handful of college students.  To the film's credit, it does not take a moral stance by shunning the actions of it characters.  Ironically, that may be why so many critics hate it.	0
1196	The Ballad of Buster Scruggs	It had its moments was not the Coen's best showing. Honestly the really outdated portrayal of Native Americans did not help things. 	0
1197	Mad Max: Fury Road	Theron and Hardy kill it in a wonderfully good way. Women central to the story. What a lovely day!	2
1198	The Hateful Eight	Tarantino is a lot of things, but politically correct isn't one of them. Safe doesn't interest him. He brings the war home, baby, with all the political, geographical, social, sexual and racial implications we're still wrangling with today. Watch out for Tarantino's seething subtext in The Hateful Eight -- it'll nag at your conscience and no way will it let go.	2
1199	Pirates of the Caribbean: The Curse of the Black Pearl	Johnny Depp makes this movie extremely fun.	2
1200	Tunnel Rats	my war epic, one off my favurites of all off my films amd of all time, mind you. in these film i pay homarge to everythink from stephen spielberg to stanley cuberick, full metal jacket and the like.. i also pay homage to alfrefred hitchock in this film of mine.	2
1201	Inception	Mistakes - 1) The kick of the van going off the bridge should have woken up Arthur in the hotel dream level since he was awake in that level and in the level above he was falling. 2)  In the first layer of the dream, you have the car flipping repeatedly. In the second layer, the whole world is also spinning. But in the third layer, they are not spinning, even though they would also be spinning in the second layer. The effects from the first layer carry on to the second layer, but not the third.	0
1202	Cop Out	fuck you	1
1203	Pacific Rim	technically it was a success for Del Toro. the problem is with the aliens, the movie doesn't give much information about them and another problem is with the depth of catastrophe, emotionally I couldn't share feelings with the people of the earth because it doesn't seem real to me.	1
1204	The Woman in Black	90 minutes of Daniel Radcliffe opening drawers with loud cranky birds in them	1
1205	City of God	Excellent and very serious. If you don't like serious, avoid this film, because it's serious. And excellent.	2
1206	AVP: Alien vs. Predator	How to kill two legendary franchises in one movie.	1
1207	Sherlock Holmes: A Game of Shadows	What a pity that such a complicated and complex character is portrayed by Robert Downey Jr. and in the hands of the mixed up Guy Richie.It could and should have been an intelligent, wit and promising theme for a movie..The humour is forced  and lame, there is a plot but it is not represented in the rank of  Sherlock Holmes class..it's all mixed up and I don't like the result. The detective part of the story is lost and shallow and is replaced by running around and  action.WOULDN'T WATCH It twice	0
1208	Hitman	they tried to mix  the personality of the bourne identity with the russian theme and babes of XXX and the style from james bond... it didn't work. Also Olyphant shows to much emotions to be a cool assassin and Dougray Scott's interpol cop tries to use cynicism to look like a hard cop but also he fails to do that.	1
1209	Spectre	Flat, boring (!), way too long, a wasted Monica Belucci, an even more wasted Christoph Waltz...sigh. What happened, Sam Mendes??	0
1210	Spectre	Flat, boring (!), way too long, a wasted Monica Belucci, an even more wasted Christoph Waltz...sigh. What happened, Sam Mendes??	0
1211	The Avengers	This film convinced me that I'm done with superhero movies. I was bored to tears by the campy acting and childish, lowest common denominator humour. Meanwhile the action, which is supposed to hold it all together, was a boring mess of CGI and loud metallic bangs.	0
1212	Casablanca	It truly is the pinnacle of the Hollywood studio system...	2
1213	Ocean's Thirteen	Hopefully we won't see Ocean's Fourteen.  Though this movie wasn't bad, its time to end this series.	2
1214	The Thin Man	There is nothing like this being made in current Hollywood. Powell and Loy are so great together that is just wonderful to watch them play off each other.	2
1215	Avatar	Two great things: absolutely wonderful visual design with great execution and taking sides with the natives for once. Without these, it is just a silly cliche of an adeventure movie, very funny to watch and targetting teenagers and such. But more of it, this movie has a very pessimistic message: No matter how much developed they are, human beings will always be stupid, brutal, greedy bastards.	0
1216	Falling Down	The naysayers claim we are to identify with Douglas's character, but i disagree.  This is a train wreck of a human being, whereas say Taxi Driver was a redeemable person that was just a bit touched.  And it reflected a time when actual disgruntled postal employees were shooting up their offices, simply because they had lost all reasonable faculty.  No this is a great movie, I'll not have anyone say otherwise.	2
1217	The Lego Movie	Far more fun than it had any right to be!	2
1218	The African Queen	Two people as different as differnt can be; ride the African Queen down the river and out of the jungle while battling the boat, the elements, the Germans, and their disperate views of life.  A great adventure.	2
1219	Kiki's Delivery Service	The best magic here is in the bravery of a young child, augmented by the social structure that supports her. There is nothing so fleeting and transient as ethical exchange, this is less a romantic film than a romance about community. It doesn't have any wrong ideas and even a few mean ones about growing up. 	2
1220	Inglourious Basterds	Tarantino does history. Well, that's new. While chapters 1 and 3 give this movie some depth (at times almost disguising it as a proper WWII film), sections 2, 4 and 5 serve us the ultimate Tarantino experience. What's more to say to this Pulp Fiction of the '40s: Brad Pitt is great as a Tennessee dead-butch and casting Christoph Waltz = Bingo! 	2
1221	Audition	"Arguably the most tense film I have ever seen. It flips SO HARD from the first hour to the second that it was like being in a car accident...in a great way. The tension that Takashi builds until we see the true nature of the villain is some of the best stuff I have ever seen. the scene when they first call her is fantastic. there wasn't much about this film that I didn't love.
 "	2
1222	Zulu	The quintessential British action film of the 60s, also notable for being Michael Caine's film debut. John Barry's awesome score gives an almost otherworldly quality to this excellent, based on fact battle film. First rate acting from all involved, particularly Nigel Green as (historically fictional) Color Sargeant Bourne & James Booth as (historically real) Private Hook. Lush scenery, brilliant color, & narration by Richard Burton. Ripping.	2
1223	Inception	The style is the film's strong point, as the characters aren't too fleshed out nor is the plot that exciting. Not that it matters much, as the astonishing effects work, cinematography, soundtrack, sound design and set pieces make Inception an unforgettable experience.	2
